names,links
Swadesh Heritage A/C Restaurant &amp; Bar,https://www.zomato.com/manipal/swadesh-heritage-a-c-restaurant-bar-maruthi-veethika/order
Swadesh Heritage,https://www.zomato.com/manipal/swadesh-heritage-maruthi-veethika/order
Hotel Udupi Residency,https://www.zomato.com/manipal/hotel-udupi-residency-nittur-udupi/order
Scirocco Coffee Valley,https://www.zomato.com/manipal/scirocco-coffee-valley-eshwar-nagar/order
Knight Bite,https://www.zomato.com/manipal/knight-bite-vidyaratna-nagar/order
Hotte Tumba Fish Court,https://www.zomato.com/manipal/hotte-tumba-fish-court-kinnimulki-udupi/order
Golden Spoon Restaurant,https://www.zomato.com/manipal/golden-spoon-restaurant-eshwar-nagar/order
Pisces Lounge &amp; Bar,https://www.zomato.com/manipal/pisces-lounge-bar-maruthi-veethika/order
Dakshin,https://www.zomato.com/manipal/dakshin-maruthi-veethika-udupi/order
Viraasat The Heritage Fine Dine,https://www.zomato.com/manipal/viraasat-the-heritage-fine-dine-pandubettu-udupi/order
Heafoo Restaurant,https://www.zomato.com/manipal/heafoo-restaurant-brahmagiri-udupi/order
Shivanna Donne Biryani,https://www.zomato.com/manipal/shivanna-donne-biryani-vidyaratna-nagar/order
Food Hut,https://www.zomato.com/manipal/food-hut-brahmagiri-udupi/order
K P Foods and Snacks,https://www.zomato.com/manipal/k-p-foods-and-snacks-eshwar-nagar/order
