name,link
Supper Cloud,"https://www.google.com/maps/dir/?api=1&destination=13.3542290000,74.7957130000"
Hotel Pingara,"https://www.google.com/maps/dir/?api=1&destination=13.3440380000,74.7904720000"
Time Cafe Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3473110000,74.7932150000"
Kolkata To Manipal,"https://www.google.com/maps/dir/?api=1&destination=13.3566340000,74.7945917000"
Santrupt Military Hotel,"https://www.google.com/maps/dir/?api=1&destination=13.3460896677,74.7591628037"
Leo's Pub,"https://www.google.com/maps/dir/?api=1&destination=13.3398479109,74.7491328791"
Coast Asia,"https://www.google.com/maps/dir/?api=1&destination=13.3528734000,74.7857260000"
Saiba Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3526720000,74.7881500000"
Pisces Multicuisine Deluxe Family Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3400730000,74.7490970000"
Pind Punjabi,"https://www.google.com/maps/dir/?api=1&destination=13.3524370000,74.7891110000"
Swadesh Heritage A/C Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3396350000,74.7496720000"
Swadesh Heritage,"https://www.google.com/maps/dir/?api=1&destination=13.3396348826,74.7496706620"
Hotel Udupi Residency,"https://www.google.com/maps/dir/?api=1&destination=13.3422050000,74.7483400000"
Scirocco Coffee Valley,"https://www.google.com/maps/dir/?api=1&destination=13.3509640000,74.7873530000"
Knight Bite,"https://www.google.com/maps/dir/?api=1&destination=13.3516529046,74.7838483750"
Hotte Tumba Fish Court,"https://www.google.com/maps/dir/?api=1&destination=13.3343180000,74.7476230000"
Golden Spoon Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3540495804,74.7946858537"
Pisces Lounge,"https://www.google.com/maps/dir/?api=1&destination=13.3400730000,74.7490970000"
Dakshin,"https://www.google.com/maps/dir/?api=1&destination=13.3395627857,74.7490517423"
Viraasat The Heritage Fine Dine,"https://www.google.com/maps/dir/?api=1&destination=13.3505625000,74.7366117000"
Heafoo Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3345784747,74.7431653791"
Shivanna Donne Biryani,"https://www.google.com/maps/dir/?api=1&destination=13.3582595697,74.7846536606"
Food Hut,"https://www.google.com/maps/dir/?api=1&destination=13.3435190614,74.7447583882"
K P Foods and Snacks,"https://www.google.com/maps/dir/?api=1&destination=13.3560437000,74.7946473000"
