restro_id,names,links,Google-Maps Links,Latitude,Longitude
81,Scoops N Smiles,https://www.zomato.com/manipal/scoops-n-smiles-kidiyoor-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3437016342,74.7462967783",13.3437016342,74.7462967783
82,The Dessert Zone,https://www.zomato.com/manipal/the-dessert-zone-kunjibettu-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3458720000,74.7637350000",13.345872,74.763735
83,Vaibhav,https://www.zomato.com/manipal/vaibhav-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3532745088,74.7859602794",13.3532745088,74.7859602794
84,Mumbai Carters Blue Family Restaurant,https://www.zomato.com/manipal/mumbai-carters-blue-family-restaurant-kunjibettu-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3457731523,74.7556841746",13.3457731523,74.7556841746
85,Hotel Swastik,https://www.zomato.com/manipal/hotel-swastik-shivalli/order,"https://www.google.com/maps/dir/?api=1&destination=13.3392598290,74.7514052660",13.339259829,74.751405266
86,Fresh Juice World,https://www.zomato.com/manipal/fresh-juice-world-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3527822000,74.7892761500",13.3527822,74.78927615
87,Kouzina Kafe - The Food Court,https://www.zomato.com/manipal/kouzina-kafe-the-food-court-kunjibettu-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3458720000,74.7637350000",13.345872,74.763735
88,Saiba,https://www.zomato.com/manipal/saiba-1-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3515660000,74.7850707000",13.351566,74.7850707
89,Inox,https://www.zomato.com/manipal/inox-dasharath-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3492000000,74.7829000000",13.3492,74.7829
90,Saim Select,https://www.zomato.com/manipal/saim-select-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3542740000,74.7923570000",13.354274,74.792357
91,Yo Dragon,https://www.zomato.com/manipal/yo-dragon-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3530878496,74.7857259167",13.3530878496,74.7857259167
92,Dusk Till Dawn,https://www.zomato.com/manipal/dusk-till-dawn-2-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3549231306,74.7934923964",13.3549231306,74.7934923964
93,Slurpy Shakes,https://www.zomato.com/manipal/slurpy-shakes-kunjibettu-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3460495671,74.7640695429",13.3460495671,74.7640695429
94,Asian K Flavour,https://www.zomato.com/manipal/asian-k-flavour-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3529088251,74.7858083993",13.3529088251,74.7858083993
95,Shake Shack,https://www.zomato.com/manipal/shake-shack-kinnimulki-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3373910000,74.7392430000",13.337391,74.739243
96,Big Boss,https://www.zomato.com/manipal/big-boss-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3546276315,74.7958448902",13.3546276315,74.7958448902
97,The Book Cafe,https://www.zomato.com/manipal/the-book-cafe-kunjibettu-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3461252883,74.7599017397",13.3461252883,74.7599017397
98,Five Star Chicken,https://www.zomato.com/manipal/five-star-chicken-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3535260000,74.7919760000",13.353526,74.791976
99,Ainn Sweet &amp; Condiments,https://www.zomato.com/manipal/ainn-sweet-condiments-kidiyoor/order,"https://www.google.com/maps/dir/?api=1&destination=13.3434950000,74.7493230000",13.343495,74.749323
100,Zafran Foods,https://www.zomato.com/manipal/zafran-foods-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3382340000,74.7881280000",13.338234,74.788128
101,Red Kitchen Express,https://www.zomato.com/manipal/red-kitchen-express-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3472253685,74.7922778280",13.3472253685,74.792277828
102,Shack Point By Snack Shack,https://www.zomato.com/manipal/shack-point-by-snack-shack-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3521513590,74.7874549404",13.352151359,74.7874549404
103,Hotel Shubham,https://www.zomato.com/manipal/hotel-shubham-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3548047635,74.7950828075",13.3548047635,74.7950828075
104,Tiwari Chat,https://www.zomato.com/manipal/tiwari-chat-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3459104917,74.7896127775",13.3459104917,74.7896127775
105,Hangyo CTF,https://www.zomato.com/manipal/hangyo-ctf-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3483206058,74.7878971696",13.3483206058,74.7878971696
106,Makazai,https://www.zomato.com/manipal/makazai-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3484385270,74.7812147851",13.348438527,74.7812147851
107,Hotel Thaamboolam,https://www.zomato.com/manipal/hotel-thaamboolam-kinnimulki/order,"https://www.google.com/maps/dir/?api=1&destination=13.3365307823,74.7497652099",13.3365307823,74.7497652099
108,Mexican Burrito,https://www.zomato.com/manipal/mexican-burrito-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3471381000,74.7806482000",13.3471381,74.7806482
109,Kediyoor Gazebo,https://www.zomato.com/manipal/kediyoor-gazebo-kidiyoor-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3430940000,74.7466610000",13.343094,74.746661
110,Dolphin Lunch Home,https://www.zomato.com/manipal/dolphin-lunch-home-maruthi-veethika/order,"https://www.google.com/maps/dir/?api=1&destination=13.3433770000,74.7484620000",13.343377,74.748462
111,Machali Restaurant,https://www.zomato.com/manipal/machali-restaurant-brahmagiri-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3364587217,74.7400108766",13.3364587217,74.7400108766
112,Sammana Hotel,https://www.zomato.com/manipal/sammana-hotel-kunjibettu-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3457930000,74.7647560000",13.345793,74.764756
113,Dawath Restaurant,https://www.zomato.com/manipal/dawath-restaurant-kidiyoor/order,"https://www.google.com/maps/dir/?api=1&destination=13.3429712000,74.7468781000",13.3429712,74.7468781
114,The Tawa Punjab,https://www.zomato.com/manipal/the-tawa-punjab-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3522575958,74.7843566537",13.3522575958,74.7843566537
115,The Laughing Buddha,https://www.zomato.com/manipal/the-laughing-buddha-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3610551869,74.7829645872",13.3610551869,74.7829645872
116,Ruchitha Restaurant,https://www.zomato.com/manipal/ruchitha-restaurant-1-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3500146524,74.7874415293",13.3500146524,74.7874415293
117,Hotel Central Park,https://www.zomato.com/manipal/hotel-central-park-dasharath-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3492196000,74.7829272000",13.3492196,74.7829272
118,Madhuvan Mandara Multi Cuisine Family Restaurant,https://www.zomato.com/manipal/madhuvan-mandara-multi-cuisine-family-restaurant-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3508700000,74.7874530000",13.35087,74.787453
119,Fullfills,https://www.zomato.com/manipal/fullfills-shivalli/order,"https://www.google.com/maps/dir/?api=1&destination=13.3469395000,74.7841914000",13.3469395,74.7841914
120,Malika - White Lotus Hotel,https://www.zomato.com/manipal/malika-white-lotus-hotel-maruthi-veethika/order,"https://www.google.com/maps/dir/?api=1&destination=13.3439466288,74.7492344677",13.3439466288,74.7492344677
121,The Mill,https://www.zomato.com/manipal/the-mill-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3543113671,74.7920692132",13.3543113671,74.7920692132
122,Dishes Family Restaurant,https://www.zomato.com/manipal/dishes-family-restaurant-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3475226151,74.7831712972",13.3475226151,74.7831712972
123,Dolphin Lunch Home,https://www.zomato.com/manipal/dolphin-lunch-home-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3433770000,74.7484620000",13.343377,74.748462
124,Spicy Kitchen,https://www.zomato.com/manipal/spicy-kitchen-saralebettu/order,"https://www.google.com/maps/dir/?api=1&destination=13.3538225301,74.7921068454",13.3538225301,74.7921068454
125,Shivanna's Military Hotel,https://www.zomato.com/manipal/shivannas-military-hotel-brahmagiri-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3368123001,74.7498675534",13.3368123001,74.7498675534
126,Shivanna's Military Hotel,https://www.zomato.com/manipal/shivannas-military-hotel-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3368123001,74.7498675534",13.3368123001,74.7498675534
127,Masala Kraft Kitchen,https://www.zomato.com/manipal/masala-kraft-kitchen-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3549083000,74.7941896000",13.3549083,74.7941896
128,Fish Factory,https://www.zomato.com/manipal/fish-factory-brahmagiri/order,"https://www.google.com/maps/dir/?api=1&destination=13.3394123801,74.7478350058",13.3394123801,74.7478350058
129,Ghar Ki Rasoi,https://www.zomato.com/manipal/ghar-ki-rasoi-tiger-circle/order,"https://www.google.com/maps/dir/?api=1&destination=13.3435050000,74.7780580000",13.343505,74.778058
130,Indie Biryani &amp; Kebabs,https://www.zomato.com/manipal/indie-biryani-kebabs-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3541970000,74.7957550000",13.354197,74.795755
131,Hotel Chicken Zain,https://www.zomato.com/manipal/hotel-chicken-zain-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3535387402,74.7911121324",13.3535387402,74.7911121324
132,Coral,https://www.zomato.com/manipal/coral-kunjibettu/order,"https://www.google.com/maps/dir/?api=1&destination=13.3451259271,74.7562588379",13.3451259271,74.7562588379
133,Anupam,https://www.zomato.com/manipal/anupam-brahmagiri-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3361840000,74.7504700000",13.336184,74.75047
134,Shetty Lunch Home,https://www.zomato.com/manipal/shetty-lunch-home-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3491338671,74.7875850275",13.3491338671,74.7875850275
